state,district,rural_urban,stunting_tier,stunting,wash_score,empowerment_score,healthcare_score,immunization_score,nutrition_deprivation,wealth_proxy,fertility_risk,ifa_100days,early_breastfeed,excl_breastfeed,vitamin_a,diarrhoea_prev,oop_delivery_cost,birth_registration,unmet_need_total,wash_score_sc,empowerment_score_sc,healthcare_score_sc,immunization_score_sc,nutrition_deprivation_sc,wealth_proxy_sc,fertility_risk_sc,ifa_100days_sc,early_breastfeed_sc,excl_breastfeed_sc,vitamin_a_sc,diarrhoea_prev_sc,oop_delivery_cost_sc,birth_registration_sc,unmet_need_total_sc,predicted_stunting_rf,predicted_stunting_ridge,residual_rf,cluster,risk_segment
AR,East Siang,Rural,Low (<30%),21.0,72.0,67.83333333333333,41.38333333333333,64.67999999999999,14.675,81.4,14.833333333333334,6.8,41.0,65.5,62.1,12.1,6508.0,72.6,19.6,1.0752172264623705,0.9427060191951784,-1.0330492110278136,-0.9433633676886872,-1.8270258864447648,1.9058768786250733,-0.8262698711115539,-1.2550544115354436,-0.257642741178911,0.6199080854147433,0.1251004995707208,0.7027801414780772,1.3107198690648565,-0.5217212831341297,0.8583206772251118,24.14877291527247,25.349782948530382,-3.1487729152724704,2,Tier 2 — Moderate Risk
AR,Kurung Kumey,Rural,Moderate (30–40%),38.9,59.43333333333334,38.333333333333336,17.416666666666668,30.879999999999995,10.95,74.30000000000001,27.933333333333334,2.6,53.8,68.9,22.9,4.9,5892.0,32.1,21.3,0.189447993332833,-1.469021517970344,-2.476511439585115,-3.5252240617198987,-2.297773143717068,1.2522860546450088,1.0877854607865256,-1.4798173802033223,0.512895401884204,0.8598582535903967,-2.099132726899833,-0.6892118505073247,1.08463541931967,-2.9609550679476326,1.1210932123312032,33.930630838749046,36.238698178600586,4.9693691612509525,2,Tier 2 — Moderate Risk
AR,Lohit,Rural,Low (<30%),27.0,59.0,51.26666666666667,42.38333333333333,70.32000000000001,30.65,61.97500000000001,26.633333333333336,14.1,80.2,65.5,41.8,3.2,4864.0,79.2,10.6,0.1589042266731935,-0.4116765638231992,-0.9728213016304296,-0.5125440092763772,0.1918163779646433,0.1177076172429932,0.8978410385370983,-0.8643949659936538,2.102130321951879,0.6199080854147433,-1.026734564137245,-1.0178766263927668,0.707338642796859,-0.1242165182015581,-0.532828038042432,33.33462474040117,37.2512579806408,-6.334624740401168,2,Tier 2 — Moderate Risk
AR,Lower Dibang Valley,Rural,Low (<30%),22.3,68.73333333333333,52.9,32.583333333333336,56.9,17.3,68.2,22.33333333333333,10.9,45.7,74.1,47.4,4.4,5052.0,67.6,17.2,0.8449642162589361,-0.2781458866242047,-1.563054813724792,-1.5376496457822617,-1.495291242058242,0.6907502762959375,0.2695633341736058,-1.0356429421215614,0.0252892332270767,1.2268408637413948,-0.708986960355737,-0.7858779610618665,0.7763384423944159,-0.8228612565678955,0.4873476864870999,27.906102782922293,32.67580102945274,-5.606102782922292,2,Tier 2 — Moderate Risk
AR,Lower Subansiri,Rural,Moderate (30–40%),35.1,78.36666666666666,54.56666666666666,33.666666666666664,55.58,17.5,82.15,16.900000000000002,9.6,55.7,65.5,43.8,4.9,6049.0,55.2,22.8,1.5239756443078385,-0.1418900935640059,-1.4978079118776264,-1.6384797083893974,-1.4700162215335548,1.97491816284832,-0.5243069434329762,-1.1052124324235244,0.6272721574951355,0.6199080854147433,-0.9132532770724208,-0.6892118505073247,1.1422575923878426,-1.5696883906836343,1.3529513315424606,30.60202301466424,29.382617331611897,4.497976985335761,2,Tier 2 — Moderate Risk
AR,Papumpare,Both,Low (<30%),25.3,81.26666666666667,66.89999999999999,43.333333333333336,57.620000000000005,19.8,82.225,22.0,11.8,37.4,50.6,51.5,10.2,12082.0,75.7,32.6,1.7283839288761935,0.8664027750814667,-0.9156047877029146,-1.4826514298147322,-1.1793534854996497,1.981822291270644,0.2208596361609322,-0.9874794488355876,-0.4743565939154122,-0.4316382398256185,-0.4763503218728473,0.3354489213708183,3.356490523090293,-0.3350144996051943,2.867757710389341,26.35084233258115,27.55024367080827,-1.0508423325811478,2,Tier 2 — Moderate Risk
AR,Tawang,Rural,Low (<30%),20.5,64.86666666666666,33.266666666666666,19.883333333333333,45.220000000000006,12.275,71.175,12.4,8.6,48.7,65.5,32.4,5.7,6660.0,29.9,31.8,0.5724198368344625,-1.8832391288733488,-2.3279492630715684,-2.429842927033284,-2.130326132741013,0.9646140370481476,-1.1818068666040726,-1.1587274249634956,0.2058841105074944,0.6199080854147433,-1.5600966133419183,-0.5345460736200578,1.3665069410799024,-3.09345665625849,2.744100046810004,25.52217437431108,34.36660256973559,-5.022174374311081,2,Tier 2 — Moderate Risk
AR,Tirap,Rural,Moderate (30–40%),39.7,48.06666666666666,54.29999999999999,29.55,59.0,17.5,69.375,16.566666666666666,9.3,73.9,65.5,21.8,3.6,2911.0,63.7,10.6,-0.6117385013546272,-0.1636910204536382,-1.745746138896857,-1.3772381825436355,-1.4700162215335548,0.7989149549123565,-0.5730106414456504,-1.1212669301855156,1.7228810796630023,0.6199080854147433,-2.1615474347854864,-0.9405437379491336,-0.0094518285543569,-1.0577504358462324,-0.532828038042432,36.53194190595557,32.05395143274443,3.168058094044433,2,Tier 2 — Moderate Risk
AR,Upper Siang,Rural,Low (<30%),24.6,58.3,60.06666666666666,42.56666666666667,55.2,12.025,71.225,15.4,8.5,48.5,65.5,49.6,7.5,4773.0,77.3,13.3,0.109564295915315,0.3077540235346509,-0.9617795182409088,-1.6675065445944817,-2.1619199083968725,0.969216789329697,-0.7434735844900086,-1.1640789242174925,0.193844452022133,0.6199080854147433,-0.5841575445844303,-0.1865480756237073,0.6739398036299564,-0.2386497081063895,-0.1154834234621687,25.863656508092408,27.89453610200274,-1.2636565080924065,2,Tier 2 — Moderate Risk
AR,Upper Subansiri,Rural,Low (<30%),28.3,61.53333333333333,48.56666666666666,24.28333333333333,38.78,19.675,74.275,25.133333333333336,1.7,61.0,65.5,53.9,11.3,9754.0,44.1,24.4,0.3374677856064688,-0.6324109485807224,-2.062946461723079,-2.921771414298402,-1.195150373327579,1.2499846785042332,0.6786743974800662,-1.5279808734892968,0.9463231073572064,0.6199080854147433,-0.3401727773950584,0.5481143645908105,2.5020674727545886,-2.238219131706595,1.6002666587011345,32.190639659339965,34.45744579959836,-3.890639659339964,2,Tier 2 — Moderate Risk
